Column1;id;geometry;x;y;ulica;orientacne cislo;ulica_cislo;Typ budovy;Mestsk‡ ‹asé;M‰;Katastr‡lne œzemie;Pribliìnù po‹et bytov
3342;27588;POINT (21.2838863 48.6967607);21.2838863;48.6967607;Baltick‡;14;Baltick‡ 14;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;22.0
3343;27589;POINT (21.2838957 48.6966249);21.2838957;48.6966249;Baltick‡;15;Baltick‡ 15;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;22.0
3344;27641;POINT (21.2811797 48.6945051);21.2811797;48.6945051;Bukoveck‡;15;Bukoveck‡ 15;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;28.0
3345;27644;POINT (21.2825667 48.6948622);21.2825667;48.6948622;‰iernomorsk‡;1;‰iernomorsk‡ 1;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;31.0
3346;27739;POINT (21.2877449 48.6888766);21.2877449;48.6888766;Jenisejsk‡;11;Jenisejsk‡ 11;Rodinnù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;1.0
3347;27716;POINT (21.2860008 48.687803);21.2860008;48.687803;Irkutsk‡;15;Irkutsk‡ 15;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;20.0
3348;27691;POINT (21.2813341 48.691742);21.2813341;48.691742;Donsk‡;2;Donsk‡ 2;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;9.0
3349;27693;POINT (21.2812652 48.6919134);21.2812652;48.6919134;Donsk‡;1;Donsk‡ 1;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;33.0
3350;27697;POINT (21.2815169 48.6903426);21.2815169;48.6903426;Levo‹sk‡;1;Levo‹sk‡ 1;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;52.0
3351;27703;POINT (21.2849991 48.6876947);21.2849991;48.6876947;Levo‹sk‡;4;Levo‹sk‡ 4;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;22.0
3352;27705;POINT (21.2855249 48.6870616);21.2855249;48.6870616;Levo‹sk‡;5;Levo‹sk‡ 5;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;45.0
3353;27710;POINT (21.2864896 48.6874356);21.2864896;48.6874356;Irkutsk‡;18;Irkutsk‡ 18;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;16.0
3354;27711;POINT (21.2863266 48.6875581);21.2863266;48.6875581;Irkutsk‡;17;Irkutsk‡ 17;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;16.0
3355;27713;POINT (21.2861637 48.6876806);21.2861637;48.6876806;Irkutsk‡;16;Irkutsk‡ 16;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;16.0
3356;27718;POINT (21.2858379 48.6879255);21.2858379;48.6879255;Irkutsk‡;14;Irkutsk‡ 14;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;20.0
3357;27645;POINT (21.2822248 48.6944587);21.2822248;48.6944587;‰iernomorsk‡;2;‰iernomorsk‡ 2;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;19.0
3358;27720;POINT (21.2856749 48.688048);21.2856749;48.688048;Irkutsk‡;13;Irkutsk‡ 13;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;20.0
3359;27722;POINT (21.285512 48.6881705);21.285512;48.6881705;Irkutsk‡;12;Irkutsk‡ 12;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;18.0
3360;27725;POINT (21.2853491 48.688293);21.2853491;48.688293;Irkutsk‡;11;Irkutsk‡ 11;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;18.0
3361;27726;POINT (21.2851862 48.6884155);21.2851862;48.6884155;Irkutsk‡;10;Irkutsk‡ 10;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;18.0
3362;27729;POINT (21.2850232 48.6885379);21.2850232;48.6885379;Irkutsk‡;9;Irkutsk‡ 9;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;20.0
3363;27730;POINT (21.2848603 48.6886604);21.2848603;48.6886604;Irkutsk‡;8;Irkutsk‡ 8;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;20.0
